dataset,site,image,url,substrate,partition,longitude,latitude
German_Bank_2010,EX01,EX01_262151309,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151309.JPG,[0],test,-66.66318113,43.12349005
German_Bank_2010,EX01,EX01_262151323,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151323.JPG,[0],test,-66.66310412,43.1234514
German_Bank_2010,EX01,EX01_262151338,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151338.JPG,[0],test,-66.66299268,43.12339814
German_Bank_2010,EX01,EX01_262151354,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151354.JPG,[0],test,-66.66284367,43.12333058
German_Bank_2010,EX01,EX01_262151410,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151410.JPG,[0],test,-66.66266617,43.12325251
German_Bank_2010,EX01,EX01_262151426,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151426.JPG,[0],test,-66.66246088,43.1231633
German_Bank_2010,EX01,EX01_262151441,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151441.JPG,[0],test,-66.6623136,43.1231003
German_Bank_2010,EX01,EX01_262151458,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151458.JPG,[0],test,-66.66211831,43.12301786
German_Bank_2010,EX01,EX01_262151513,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151513.JPG,[0],test,-66.66192755,43.12293855
German_Bank_2010,EX01,EX01_262151529,https://www.frdr-dfdr.ca/repo/files/9/published/publication_961/submitted_data/01_Data/images/German_Bank_2010/EX01/EX01_262151529.JPG,[1],test,-66.66174978,43.12286583
