Model / Label,Epoch,Norm,Coralscapes mIoU (%),Coralscapes Pixel Acc (%),CoralMask Coral-IoU (%),CoralMask mIoU (%)
stage1_marine_with_physics_lr_1e-4_no_pixel/benthic-ssl-best.ckpt,0,BenthicNet,23.49%,61.29%,72.54%,79.67%
stage1_marine_with_physics_lr_1e-4_no_pixel/benthic-ssl-epoch=00-ssl_loss=13.78.ckpt,0,BenthicNet,23.49%,61.28%,72.54%,79.67%
stage1_marine_with_physics_lr_1e-4_no_pixel/benthic-ssl-epoch=01-ssl_loss=12.03.ckpt,1,BenthicNet,23.56%,61.24%,72.56%,79.69%
stage1_marine_with_physics_lr_1e-4_no_pixel/benthic-ssl-epoch=02-ssl_loss=11.34.ckpt,2,BenthicNet,23.57%,61.17%,72.48%,79.64%
stage1_marine_with_physics_lr_1e-4_no_pixel/benthic-ssl-epoch=03-ssl_loss=11.11.ckpt,3,BenthicNet,23.62%,61.10%,72.68%,79.61%
stage1_marine_with_physics_lr_1e-4_no_pixel/benthic-ssl-epoch=05-ssl_loss=11.32.ckpt,5,BenthicNet,23.79%,61.10%,72.66%,79.61%
stage1_marine_with_physics_lr_1e-4_no_pixel/benthic-ssl-epoch=08-ssl_loss=11.39.ckpt,8,BenthicNet,23.89%,61.19%,72.65%,79.61%
stage1_marine_with_physics_lr_1e-4_no_pixel/benthic-ssl-epoch=11-ssl_loss=11.25.ckpt,11,BenthicNet,23.69%,61.28%,72.65%,79.61%
stage1_marine_with_physics_lr_1e-4_no_pixel/benthic-ssl-epoch=14-ssl_loss=11.31.ckpt,14,BenthicNet,23.69%,61.26%,72.63%,79.60%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-best.ckpt,11,BenthicNet,23.47%,61.27%,72.91%,79.70%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=00-ssl_loss=14.54.ckpt,0,BenthicNet,23.29%,61.27%,72.84%,79.65%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=01-ssl_loss=14.15.ckpt,1,BenthicNet,23.34%,61.27%,72.84%,79.66%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=02-ssl_loss=13.83.ckpt,2,BenthicNet,23.34%,61.28%,72.84%,79.66%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=03-ssl_loss=13.74.ckpt,3,BenthicNet,23.34%,61.28%,72.84%,79.66%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=05-ssl_loss=13.77.ckpt,5,BenthicNet,23.45%,61.25%,72.89%,79.69%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=07-ssl_loss=13.70.ckpt,7,BenthicNet,23.45%,61.27%,72.91%,79.70%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=08-ssl_loss=13.67.ckpt,8,BenthicNet,23.45%,61.26%,72.91%,79.70%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=09-ssl_loss=13.64.ckpt,9,BenthicNet,23.49%,61.28%,72.91%,79.70%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=10-ssl_loss=13.63.ckpt,10,BenthicNet,23.47%,61.25%,72.91%,79.69%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=11-ssl_loss=13.62.ckpt,11,BenthicNet,23.47%,61.27%,72.91%,79.70%
stage1_marine_with_physics_lr_1e-5_with_pixel/benthic-ssl-epoch=14-ssl_loss=13.65.ckpt,14,BenthicNet,23.45%,61.26%,72.91%,79.70%
stage1_marine_with_physics_lr_2e-4_with_pixel/benthic-ssl-best.ckpt,2,BenthicNet,24.57%,61.24%,73.14%,79.93%
stage1_marine_with_physics_lr_2e-4_with_pixel/benthic-ssl-epoch=00-ssl_loss=13.78.ckpt,0,BenthicNet,24.41%,61.24%,72.69%,79.77%
stage1_marine_with_physics_lr_2e-4_with_pixel/benthic-ssl-epoch=01-ssl_loss=12.71.ckpt,1,BenthicNet,24.23%,61.21%,73.11%,79.87%
stage1_marine_with_physics_lr_2e-4_with_pixel/benthic-ssl-epoch=02-ssl_loss=12.53.ckpt,2,BenthicNet,24.57%,61.24%,73.14%,79.93%
stage1_marine_with_physics_lr_2e-4_with_pixel/benthic-ssl-epoch=05-ssl_loss=13.00.ckpt,5,BenthicNet,26.08%,61.38%,73.03%,80.04%
stage1_marine_with_physics_lr_2e-4_with_pixel/benthic-ssl-epoch=08-ssl_loss=12.79.ckpt,8,BenthicNet,26.47%,61.21%,73.03%,79.94%
stage1_marine_with_physics_lr_2e-4_with_pixel/benthic-ssl-epoch=11-ssl_loss=12.70.ckpt,11,BenthicNet,26.34%,61.31%,72.99%,79.94%
stage1_marine_with_physics_lr_2e-4_with_pixel/benthic-ssl-epoch=14-ssl_loss=12.88.ckpt,14,BenthicNet,26.24%,61.23%,73.05%,79.98%
stage1_marine_with_physics_lr_1e-4_no_pixel_tau_99/benthic-ssl-best.ckpt,3,BenthicNet,23.59%,61.09%,72.74%,79.66%
stage1_marine_with_physics_lr_1e-4_no_pixel_tau_99/benthic-ssl-epoch=00-ssl_loss=13.66.ckpt,0,BenthicNet,23.47%,61.29%,72.56%,79.68%
stage1_marine_with_physics_lr_1e-4_no_pixel_tau_99/benthic-ssl-epoch=01-ssl_loss=12.00.ckpt,1,BenthicNet,23.61%,61.25%,72.59%,79.71%
stage1_marine_with_physics_lr_1e-4_no_pixel_tau_99/benthic-ssl-epoch=02-ssl_loss=11.32.ckpt,2,BenthicNet,23.55%,61.15%,72.53%,79.67%
stage1_marine_with_physics_lr_1e-4_no_pixel_tau_99/benthic-ssl-epoch=03-ssl_loss=11.09.ckpt,3,BenthicNet,23.59%,61.09%,72.74%,79.66%
stage1_marine_with_physics_lr_1e-4_no_pixel_tau_99/benthic-ssl-epoch=05-ssl_loss=11.35.ckpt,5,BenthicNet,23.55%,61.05%,72.66%,79.62%
stage1_marine_with_physics_lr_1e-4_no_pixel_tau_99/benthic-ssl-epoch=08-ssl_loss=11.38.ckpt,8,BenthicNet,23.89%,61.16%,72.67%,79.62%
