dataset,site,image,url,catami_substrate,partition,longitude,latitude
Tasmania201502,r20150302_225110_02_Trumpeter_bay_broad_North,PR_20150302_235052_817_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201502/r20150302_225110_02_Trumpeter_bay_broad_North/full_res/PR_20150302_235052_817_LC16.jpg,[0],train,147.45598542,-43.16072083
Tasmania201406,r20140619_012358_tas_19_huon_deep_in2,PR_20140619_035014_560_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201406/r20140619_012358_tas_19_huon_deep_in2/full_res/PR_20140619_035014_560_LC16.jpg,[2],train,147.22470625,-43.61549583
Tasmania201406,r20140619_012358_tas_19_huon_deep_in2,PR_20140619_021954_798_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201406/r20140619_012358_tas_19_huon_deep_in2/full_res/PR_20140619_021954_798_LC16.jpg,[2],train,147.22298472,-43.61665417
Tasmania201406,r20140619_012358_tas_19_huon_deep_in2,PR_20140619_034621_782_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania201406/r20140619_012358_tas_19_huon_deep_in2/full_res/PR_20140619_034621_782_LC16.jpg,[2],train,147.22461875,-43.61560278
EMR202001,r20200205_204353_SS12_Elizabeth_20,PR_20200205_223521_681_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/EMR202001/r20200205_204353_SS12_Elizabeth_20/full_res/PR_20200205_223521_681_LC16.jpg,[0],train,159.0233866,-29.9223702
Sydney201211,r20121122_232107_Jibbon_point_02_broad,PR_20121123_010748_357_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Sydney201211/r20121122_232107_Jibbon_point_02_broad/full_res/PR_20121123_010748_357_LC16.jpg,[4],train,151.17991319,-34.08409931
Sydney201211,r20121122_232107_Jibbon_point_02_broad,PR_20121123_010753_362_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Sydney201211/r20121122_232107_Jibbon_point_02_broad/full_res/PR_20121123_010753_362_LC16.jpg,[4],train,151.17993889,-34.08410625
Sydney201211,r20121122_232107_Jibbon_point_02_broad,PR_20121123_010758_367_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Sydney201211/r20121122_232107_Jibbon_point_02_broad/full_res/PR_20121123_010758_367_LC16.jpg,[4],train,151.17996597,-34.08410417
20191020_Broughton_Island,20191020_T003,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T003_221721UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T003/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T003_221721UTC.JPG,[4],train,152.4479855,-32.5474657
20191020_Broughton_Island,20191020_T003,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T003_221737UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T003/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T003_221737UTC.JPG,[4],train,152.4480162,-32.5475344
20191020_Broughton_Island,20191020_T003,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T003_222149UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T003/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T003_222149UTC.JPG,[4],train,152.4483206,-32.5485156
20191020_Broughton_Island,20191020_T003,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T003_221741UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T003/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T003_221741UTC.JPG,[4],train,152.4480247,-32.5475545
20191020_Broughton_Island,20191020_T004,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_224909UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T004/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_224909UTC.JPG,[0],train,152.4365508,-32.5526938
20191020_Broughton_Island,20191020_T004,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_224845UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T004/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_224845UTC.JPG,[0],train,152.4366457,-32.5527251
20191020_Broughton_Island,20191020_T004,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_225221UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T004/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_225221UTC.JPG,[0],train,152.4357069,-32.5525742
20191020_Broughton_Island,20191020_T004,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_225257UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T004/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_225257UTC.JPG,[0],train,152.4355378,-32.5525592
20191020_Broughton_Island,20191020_T004,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_225301UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T004/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191020_T004_225301UTC.JPG,[2],train,152.4355237,-32.5525584
20191020_Broughton_Island,20191020_T008,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005509UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T008/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005509UTC.JPG,[4],train,152.4398475,-32.5862929
20191020_Broughton_Island,20191020_T008,NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005319UTC,https://s3-ap-southeast-2.amazonaws.com/nesp-biodiversity-hmptv/Marine/Imagery/TDS/20191020_Broughton_Island/20191020_T008/images/NSW_DPIE_TDS_BROUGHTON_ISLAND_20191021_T008_005319UTC.JPG,[4],train,152.4392687,-32.5863219
